"filename", "language", "JavaScript", "PHP", "PostCSS", "Markdown", "JSON", "XML", "comment", "blank", "total"
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\hashing.php", "PHP", 0, 12, 0, 0, 0, 0, 32, 9, 53
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\logging.php", "PHP", 0, 79, 0, 0, 0, 0, 34, 19, 132
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\mail.php", "PHP", 0, 54, 0, 0, 0, 0, 53, 19, 126
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\queue.php", "PHP", 0, 51, 0, 0, 0, 0, 42, 17, 110
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\sanctum.php", "PHP", 0, 15, 0, 0, 0, 0, 41, 12, 68
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\services.php", "PHP", 0, 17, 0, 0, 0, 0, 11, 7, 35
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\session.php", "PHP", 0, 22, 0, 0, 0, 0, 147, 33, 202
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\config\view.php", "PHP", 0, 10, 0, 0, 0, 0, 20, 7, 37
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\CartFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\CategoryFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\ChatFactory.php", "PHP", 0, 19, 0, 0, 0, 0, 8, 4, 31
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\ConsultationFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\OrderFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\OrderProductFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\PaymentFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\ProductFactory.php", "PHP", 0, 21, 0, 0, 0, 0, 8, 4, 33
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\ProductReviewFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\RatingFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\TypeFactory.php", "PHP", 0, 11, 0, 0, 0, 0, 9, 4, 24
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\factories\UserFactory.php", "PHP", 0, 27, 0, 0, 0, 0, 11, 5, 43
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", 0, 26, 0, 0, 0, 0, 6, 4, 36
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2014_10_12_100000_create_password_reset_tokens_table.php", "PHP", 0, 19, 0, 0, 0, 0, 6, 4, 29
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", 0, 23, 0, 0, 0, 0, 6, 4, 33
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", 0, 24, 0, 0, 0, 0, 6, 4, 34
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_10_30_184929_create_roles_table.php", "PHP", 0, 19, 0, 0, 0, 0, 6, 4, 29
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_10_30_185613_create_chats_table.php", "PHP", 0, 26, 0, 0, 0, 0, 6, 4, 36
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_04_160223_add_role_id_column_to_users_table.php", "PHP", 0, 19, 0, 0, 0, 0, 7, 4, 30
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_08_215742_create_consultations_table.php", "PHP", 0, 20, 0, 0, 0, 0, 6, 4, 30
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_08_223633_create_payments_table.php", "PHP", 0, 25, 0, 0, 0, 0, 6, 4, 35
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_11_151855_create_products_table.php", "PHP", 0, 26, 0, 0, 0, 0, 6, 4, 36
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_11_151933_create_types_table.php", "PHP", 0, 19, 0, 0, 0, 0, 6, 4, 29
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_11_151938_create_categories_table.php", "PHP", 0, 19, 0, 0, 0, 0, 6, 4, 29
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_11_184440_add_category_id_and_type_id_to_products_table.php", "PHP", 0, 21, 0, 0, 0, 0, 6, 4, 31
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_11_184543_create_product_reviews_table.php", "PHP", 0, 21, 0, 0, 0, 0, 6, 4, 31
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_12_064111_create_carts_table.php", "PHP", 0, 21, 0, 0, 0, 0, 6, 4, 31
"d:\Kuliah ITS\SEMESTER 5\PBKK\Penugasan\sahabat-hewan\database\migrations\2023_11_17_065816_create_ratings_table.php", "PHP", 0, 21, 0, 0, 0, 0, 6, 4, 31
